INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
9,2012,2120,1200,100
9,2012,,,
9,2012,1040,0,
8,2012,2145,1000,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,1055,0,
8,2012,2111,5,60
8,2012,,,
8,2012,1950,0,
8,2012,,,
8,2012,1400,0,
8,2012,,,
8,2012,1348,0,
8,2012,1038,30,140
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,,,
8,2012,1226,2000,180
8,2012,725,,
8,2012,1140,20,
7,2012,,75,
7,2012,,,
7,2012,,,
7,2012,,,
7,2012,,,
7,2012,,,
7,2012,,0,
7,2012,,,
7,2012,,,
7,2012,718,0,85
7,2012,600,1700,200
7,2012,945,0,140
7,2012,,,
7,2012,800,,
7,2012,,,
7,2012,1251,0,
7,2012,,,
7,2012,,,
7,2012,1626,20,145
7,2012,1125,,
7,2012,1820,,
7,2012,1155,,
7,2012,1620,0,
7,2012,,0,
7,2012,1200,0,130
7,2012,,,
7,2012,2340,2000,170
7,2012,,,
7,2012,,,
7,2012,,,
6,2012,,,
6,2012,1129,10,145
6,2012,1645,200,
6,2012,2155,0,
6,2012,,,
6,2012,,,
6,2012,1315,,
5,2012,,,
5,2012,,0,
5,2012,1125,0,
5,2012,,150,150
5,2012,,,
5,2012,,,
5,2012,,10,100
5,2012,,,
5,2012,,,
5,2012,,,
5,2012,1600,700,
5,2012,1103,,
5,2012,520,,
5,2012,500,0,60
5,2012,2306,20,130
5,2012,2200,0,
5,2012,,,
5,2012,1215,0,140
5,2012,630,0,
4,2012,2359,,
4,2012,920,0,
4,2012,2233,1500,
4,2012,400,,
4,2012,725,35,160
4,2012,1030,0,
4,2012,,,
4,2012,1022,0,
4,2012,,,
4,2012,2145,300,
4,2012,2245,2000,
4,2012,,,
4,2012,,,
4,2012,,,
4,2012,,10,60
4,2012,,,
4,2012,2220,1000,140
4,2012,,,
4,2012,1950,1200,
3,2012,,,
3,2012,1130,0,50
3,2012,2240,,
3,2012,2330,,
3,2012,,,
3,2012,,,
3,2012,458,100,141
