INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,REMAINS_COLLECTED,MONTH,YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE OF FLIGHT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE OF BIRD,DAMAGE LEVEL
5/10/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,ZS007,Wilson's warbler,TRUE,5,2015,Day,,,,Approach,Some Cloud,Rain,,1,Small,N
5/4/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,TRUE,5,2015,,,,,,,,,1,Small,
5/4/15 0:00,WA,KPUW,PULLMAN/MOSCOW REGIONAL ARPT,QXE,HORIZON AIR,DHC8 DASH 8,C,UNKBS,Unknown bird - small,FALSE,5,2015,Night,2300,30,125,Approach,No Cloud,None,1,1,Small,N
5/3/15 0:00,WA,KPUW,PULLMAN/MOSCOW REGIONAL ARPT,QXE,HORIZON AIR,DHC8 DASH 8,C,Y,Perching birds (y),TRUE,5,2015,Night,2315,0,,Landing Roll,No Cloud,None,1,1,Small,M
5/3/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-400,D,ZS009,Yellow-rumped warbler,TRUE,5,2015,,,0,,Landing Roll,,,,1,Small,N
5/2/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,5,2015,,,,,,,,,1,Small,
5/1/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZX303,Savannah sparrow,TRUE,5,2015,,,,,,,,,1,Small,
4/30/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,TRUE,4,2015,,,,,,,,,1,Small,
4/28/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,KAL,KOREAN AIR,B-747-400,D,R1101,Barn owl,TRUE,4,2015,Night,,,,Approach,Some Cloud,None,,1,Small,N
4/28/15 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,A-319,D,J2204,Canada goose,TRUE,4,2015,Day,1541,5,,Climb,Overcast,None,,2 to 10,Large,M
4/26/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SKW,SKYWEST AIRLINES,CRJ700,D,UNKB,Unknown bird,FALSE,4,2015,Day,808,0,,Landing Roll,,,,1,,
4/26/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,ZX004,Dark-eyed junco,TRUE,4,2015,Night,500,,,Descent,Some Cloud,None,,1,Small,N
4/26/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SKW,SKYWEST AIRLINES,CRJ700,D,K3302,Red-tailed hawk,TRUE,4,2015,Day,805,,,Approach,Some Cloud,None,1,1,Medium,N
4/25/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,B-777-300,D,YI011,Violet-green swallow,FALSE,4,2015,Day,955,,,Arrival,Some Cloud,,1,1,Small,N
4/25/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,TRUE,4,2015,,,,,,,,,1,Medium,
4/24/15 0:00,WA,KPSC,TRI-CITIES,QXE,HORIZON AIR,DHC8 DASH 8,C,J2109,Mallard,TRUE,4,2015,Day,1456,300,130,Approach,Some Cloud,None,1,1,Medium,N
4/22/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,TRUE,4,2015,,,,,,,,,1,Medium,
4/22/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,4,2015,,,,,,,,,1,Small,
4/21/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,O2203,Eurasian collared dove,TRUE,4,2015,,,,,,,,,1,Small,
4/20/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,B-737-800,D,Z6014,Hermit thrush,TRUE,4,2015,Night,,,,Descent,No Cloud,None,,1,Small,N
4/20/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZX303,Savannah sparrow,TRUE,4,2015,,,,,,,,,1,Small,
4/16/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,ZX303,Savannah sparrow,TRUE,4,2015,Night,2050,3500,210,Approach,No Cloud,None,,1,Small,N
4/14/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,TRUE,4,2015,,,,,,,,,1,Medium,
4/13/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,4,2015,,,,,,,,,1,Small,
4/12/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,K3302,Red-tailed hawk,TRUE,4,2015,,,,,,,,,1,Medium,
4/12/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,UNKBM,Unknown bird - medium,FALSE,4,2015,Day,904,,,Approach,,,1,1,Medium,
4/11/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,CPZ,COMPASS AIRLINES,EMB-170,D,UNKBS,Unknown bird - small,FALSE,4,2015,Day,912,0,120,Take-off run,Some Cloud,None,2 to 10,2 to 10,Small,N
4/9/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-700,D,J2109,Mallard,TRUE,4,2015,Night,2122,950,160,Climb,,,,1,Medium,N
4/9/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,QXE,HORIZON AIR,DHC8 DASH 8,C,UNKBS,Unknown bird - small,FALSE,4,2015,Day,1600,0,,Take-off run,Overcast,Rain,,2 to 10,Small,N
